method,importance,p_value,score,elapsed,correlation,correlation_group,n_samples,prob_data,group_based,group_stack,iteration
CPI-DNN,0.0857349133049718,0.00687939335349649,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.150626701119438,0.000983498206451161,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,1.74394509908634,2.30725510034659e-19,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,2.3691237882853,1.08520287328146e-23,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.285772393828769,0.000156362423558238,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.784760007232504,4.46655998629922e-10,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.243805051069455,0.000250929330775177,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.237860341574624,0.000170234386423933,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.372560707669143,2.32589036047997e-06,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.106935317916304,0.0102111316070217,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.172613753390818,0.00156056567679615,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,1.19277929299703,1.78394254014988e-14,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.179859192101449,0.000838503523775774,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,2.17246304736022,1.14200839910453e-21,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.105376141385181,0.0197063803047576,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,2.5589924828648,5.63527702266219e-23,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
CPI-DNN,0.880571439054901,4.4729978381336e-12,0.916726315060974,1135.11,0.8,0,1000,regression,FALSE,FALSE,5
