,Method,correlation,n_samples,prob_data,iteration,V1
355,Permfit-DNN,0.8,300,regression_perm,55,0.2
356,Permfit-DNN,0.8,300,regression_perm,56,0.210526315789474
357,Permfit-DNN,0.8,300,regression_perm,57,0.189473684210526
358,Permfit-DNN,0.8,300,regression_perm,58,0.221052631578947
359,Permfit-DNN,0.8,300,regression_perm,59,0.315789473684211
360,Permfit-DNN,0.8,300,regression_perm,60,0.147368421052632
361,Permfit-DNN,0.8,300,regression_perm,61,0.252631578947368
362,Permfit-DNN,0.8,300,regression_perm,62,0.147368421052632
363,Permfit-DNN,0.8,300,regression_perm,63,0.273684210526316
364,Permfit-DNN,0.8,300,regression_perm,64,0.178947368421053
365,Permfit-DNN,0.8,300,regression_perm,65,0.178947368421053
366,Permfit-DNN,0.8,300,regression_perm,66,0.252631578947368
367,Permfit-DNN,0.8,300,regression_perm,67,0.252631578947368
368,Permfit-DNN,0.8,300,regression_perm,68,0.178947368421053
369,Permfit-DNN,0.8,300,regression_perm,69,0.252631578947368
370,Permfit-DNN,0.8,300,regression_perm,70,0.178947368421053
371,Permfit-DNN,0.8,300,regression_perm,71,0.231578947368421
372,Permfit-DNN,0.8,300,regression_perm,72,0.157894736842105
373,Permfit-DNN,0.8,300,regression_perm,73,0.2
374,Permfit-DNN,0.8,300,regression_perm,74,0.189473684210526
375,Permfit-DNN,0.8,300,regression_perm,75,0.168421052631579
376,Permfit-DNN,0.8,300,regression_perm,76,0.252631578947368
377,Permfit-DNN,0.8,300,regression_perm,77,0.231578947368421
378,Permfit-DNN,0.8,300,regression_perm,78,0.252631578947368
379,Permfit-DNN,0.8,300,regression_perm,79,0.210526315789474
380,Permfit-DNN,0.8,300,regression_perm,80,0.263157894736842
381,Permfit-DNN,0.8,300,regression_perm,81,0.273684210526316
382,Permfit-DNN,0.8,300,regression_perm,82,0.136842105263158
383,Permfit-DNN,0.8,300,regression_perm,83,0.252631578947368
384,Permfit-DNN,0.8,300,regression_perm,84,0.178947368421053
385,Permfit-DNN,0.8,300,regression_perm,85,0.210526315789474
386,Permfit-DNN,0.8,300,regression_perm,86,0.126315789473684
387,Permfit-DNN,0.8,300,regression_perm,87,0.326315789473684
388,Permfit-DNN,0.8,300,regression_perm,88,0.273684210526316
389,Permfit-DNN,0.8,300,regression_perm,89,0.231578947368421
390,Permfit-DNN,0.8,300,regression_perm,90,0.242105263157895
